Name:     Description:
mshh      "Marvel Super Heroes (Hispanic 951117)"
19xx      "19XX: The War Against Destiny (US 951207)"
19xxj     "19XX: The War Against Destiny (Japan 951207)"
19xxh     "19XX: The War Against Destiny (Hispanic 951218)"
sfa2      "Street Fighter Alpha 2 (US 960306)"
sfz2      "Street Fighter Zero 2 (Japan 960227)"
qndream   "Quiz Nanairo Dreams: Nijiirotyou no Kiseki (Japan 960826)"
xmvsf     "X-Men Vs. Street Fighter (US 961004)"
xmvsfj    "X-Men Vs. Street Fighter (Japan 960910)"
xmvsfa    "X-Men Vs. Street Fighter (Asia 961023)"
vsav      "Vampire Savior: The Lord of Vampire (US 970519)"
vsavj     "Vampire Savior: The Lord of Vampire (Japan 970519)"
mgakuen   "Mahjong Gakuen"
mgakuen2  "Mahjong Gakuen 2 Gakuen-chou no Fukushuu"
pkladies  "Poker Ladies"
pkladiel  "Poker Ladies (Leprechaun)"
dokaben   "Dokaben (Japan)"
pang      "Pang (World)"
pangb     "Pang (bootleg)"
bbros     "Buster Bros (US)"
pompingw  "Pomping World (Japan)"
cbasebal  "Capcom Baseball (Japan)"
cworld    "Capcom World (Japan)"
hatena    "Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan)"
spang     "Super Pang (World)"
sbbros    "Super Buster Bros (US)"
marukin   "Super Marukin-Ban"
qtono1    "Quiz Tonosama no Yabou (Japan)"
qsangoku  "Quiz Sangokushi (Japan)"
block     "Block Block (World 911106)"
blocka    "Block Block (World 910910)"
blockj    "Block Block (Japan)"
blockbl   "Block Block (bootleg)"
capbowl   "Capcom Bowling (set 1)"
capbowl2  "Capcom Bowling (set 2)"
clbowl    "Coors Light Bowling"
bowlrama  "Bowl-O-Rama"
wfortune  "Wheel Of Fortune"
stratab   "Strata Bowling"
gtg       "Golden Tee Golf"
hstennis  "Hot Shots Tennis"
slikshot  "Slick Shot"
arlingtn  "Arlington Horse Racing"
peggle    "Peggle (Joystick)"
pegglet   "Peggle (Trackball)"
rimrockn  "Rim Rockin' Basketball (V2.2)"
rimrck20  "Rim Rockin' Basketball (V2.0)"
rimrck12  "Rim Rockin' Basketball (V1.2)"
ninclown  "Ninja Clowns"
gtg2      "Golden Tee Golf II (Trackball, V2.2)"
gtg2t     "Golden Tee Golf II (Trackball, V1.1)"
gtg2j     "Golden Tee Golf II (Joystick, V1.0)"
timekill  "Time Killers (v1.32)"
timek131  "Time Killers (v1.31)"
hardyard  "Hard Yardage (v1.20)"
hardyd10  "Hard Yardage (v1.00)"
bloodstm  "Blood Storm (v2.22)"
bloods22  "Blood Storm (v2.20)"
bloods21  "Blood Storm (v2.10)"
pairs     "Pairs"
sftm      "Street Fighter: The Movie (v1.1)"
sftmj     "Street Fighter: The Movie (v1.12N, Japan)"
cerberus  "Cerberus"
mayhem    "Mayhem 2002"
wseries   "World Series: The Season"
alleymas  "Alley Master"
dangerz   "Danger Zone"
basebal2  "Baseball The Season II"
dblplay   "Super Baseball Double Play Home Run Derby"
strkzone  "Strike Zone"
redlin2p  "Redline Racer (2 players)"
quarterb  "Quarterback"
quartrba  "Quarterback (set 2)"
viper     "Viper"
teamqb    "John Elway's Team Quarterback"
teamqb2   "John Elway's Team Quarterback (set 2)"
aafb      "All American Football (rev E)"
aafbd2p   "All American Football (rev D, 2 Players)"
aafbb     "All American Football (rev B)"
offroad   "Ironman Stewart's Super Off-Road"
offroadt  "Ironman Stewart's Super Off-Road Track Pack"
pigout    "Pigout"
pigouta   "Pigout (alternate)"
ataxx     "Ataxx (set 1)"
ataxxa    "Ataxx (set 2)"
ataxxj    "Ataxx (Japan)"
wsf       "World Soccer Finals"
indyheat  "Danny Sullivan's Indy Heat"
brutforc  "Brute Force"
blockade  "Blockade"
comotion  "Comotion"
hustle    "Hustle"
blasto    "Blasto"
depthch   "Depthcharge"
safari    "Safari"
frogs     "Frogs"
sspaceat  "Space Attack (upright)"
sspacat2  "Space Attack (upright, older)"
sspacatc  "Space Attack (cocktail)"
headon    "Head On (2 players)"
headonb   "Head On (1 player)"
headon2   "Head On 2"
invho2    "Invinco / Head On 2"
samurai   "Samurai (Sega)"
invinco   "Invinco"
invds     "Invinco / Deep Scan"
tranqgun  "Tranquilizer Gun"
spacetrk  "Space Trek (upright)"
sptrekct  "Space Trek (cocktail)"
carnival  "Carnival (upright)"
carnvckt  "Carnival (cocktail)"
digger    "Digger"
pulsar    "Pulsar"
heiankyo  "Heiankyo Alien"
spacfury  "Space Fury (revision C)"
spacfura  "Space Fury (revision A)"
zektor    "Zektor"
tacscan   "Tac/Scan"
elim2     "Eliminator (2 Players, set 1)"
elim2a    "Eliminator (2 Players, set 2)"
elim4     "Eliminator (4 Players)"
startrek  "Star Trek"
astrob    "Astro Blaster (version 3)"
astrob2   "Astro Blaster (version 2)"
astrob1   "Astro Blaster (version 1)"
005       "005"
monsterb  "Monster Bash"
spaceod   "Space Odyssey"
pignewt   "Pig Newton (version C)"
pignewta  "Pig Newton (version A)"
sindbadm  "Sindbad Mystery"
zaxxon    "Zaxxon (set 1)"
zaxxon2   "Zaxxon (set 2)"
zaxxonb   "Jackson"
szaxxon   "Super Zaxxon"
futspy    "Future Spy"
razmataz  "Razzmatazz"
congo     "Congo Bongo"
tiptop    "Tip Top"
starjack  "Star Jacker (Sega)"
starjacs  "Star Jacker (Stern)"
regulus   "Regulus"
regulusu  "Regulus (not encrypted)"
upndown   "Up'n Down"
mrviking  "Mister Viking"
mrvikinj  "Mister Viking (Japan)"
swat      "SWAT"
flicky    "Flicky (set 1)"
flicky2   "Flicky (set 2)"
bullfgtj  "Tougyuu, The (Japan)"
pitfall2  "Pitfall II"
pitfallu  "Pitfall II (not encrypted)"
seganinj  "Sega Ninja"
seganinu  "Sega Ninja (not encrypted)"
nprinces  "Ninja Princess"
nprincsu  "Ninja Princess (not encrypted)"
nprincsb  "Ninja Princess (bootleg?)"
imsorry   "I'm Sorry (US)"
imsorryj  "I'm Sorry (Japan)"
teddybb   "TeddyBoy Blues"
hvymetal  "Heavy Metal"
myhero    "My Hero (US)"
myheroj   "Seishun Scandal (Japan)"
myherok   "My Hero (Korea)"
shtngmst  "Shooting Master"
chplft    "Choplifter"
chplftb   "Choplifter (alternate)"
chplftbl  "Choplifter (bootleg)"
4dwarrio  "4-D Warriors"
brain     "Brain"
wboy      "Wonder Boy (set 1)"
wboy2     "Wonder Boy (set 2)"
wboy3     "Wonder Boy (set 3)"
wboy4     "Wonder Boy (set 4)"
wboyu     "Wonder Boy (not encrypted)"
wboy4u    "Wonder Boy (set 4 not encrypted)"
wbdeluxe  "Wonder Boy Deluxe"
gardia    "Gardia"
gardiab   "Gardia (bootleg)"
blockgal  "Block Gal"
blckgalb  "Block Gal (bootleg)"
tokisens  "Toki no Senshi - Chrono Soldier"
wbml      "Wonder Boy in Monster Land"
wbmlj     "Wonder Boy in Monster Land (Japan set 1)"
wbmlj2    "Wonder Boy in Monster Land (Japan set 2)"
wbmlju    "Wonder Boy in Monster Land (Japan not encrypted)"
dakkochn  "DakkoChan Jansoh"
ufosensi  "Ufo Senshi Yohko Chan"
turbo     "Turbo"
turboa    "Turbo (encrypted set 1)"
turbob    "Turbo (encrypted set 2)"
suprloco  "Super Locomotive"
appoooh   "Appoooh"
bankp     "Bank Panic"
dotrikun  "Dottori Kun (new version)"
dotriku2  "Dottori Kun (old version)"
alexkidd  "Alex Kidd (set 1)"
aliensya  "Alien Syndrome (set 2)"
aliensyb  "Alien Syndrome (set 3)"
aliensyj  "Alien Syndrome (Japan)"
astorm    "Alien Storm"
astorm2p  "Alien Storm (2 Player)"
auraila   "Aurail (set 2)"
bayrouta  "Bay Route (set 2)"
bayrtbl1  "Bay Route (bootleg set 1)"
bayrtbl2  "Bay Route (bootleg set 2)"
enduror   "Enduro Racer"
eswat     "E-Swat - Cyber Police"
fpoint    "Flash Point"
goldnaxb  "Golden Axe (Version 2 317-0110)"
goldnaxc  "Golden Axe (Version 2 317-0122)"
goldnaxj  "Golden Axe (Version 1, Japan)"
jyuohki   "Jyuohki (Japan)"
moonwalk  "Moon Walker (Set 1)"
moonwlka  "Moon Walker (Set 2)"
passsht   "Passing Shot (2 Players)"
sdioj     "SDI - Strategic Defense Initiative (Japan)"
shangon   "Super Hang-On"
shinobia  "Shinobi (set 2)"
shinobib  "Shinobi (set 3)"
tetris    "Tetris (Sega Set 1)"
tetrisa   "Tetris (Sega Set 2)"
wb3a      "Wonder Boy III - Monster Lair (set 2)"
bloxeed   "Bloxeed"
aburner   "After Burner (Japan)"
aburner2  "After Burner II"
alexkida  "Alex Kidd (set 2)"
aliensyn  "Alien Syndrome (set 1)"
altbeas2  "Altered Beast (Version 2)"
altbeast  "Altered Beast (Version 1)"
astormbl  "Alien Storm (bootleg)"
atomicp   "Atomic Point"
aurail    "Aurail (set 1)"
bayroute  "Bay Route (set 1)"
bodyslam  "Body Slam"
dduxbl    "Dynamite Dux (bootleg)"
dumpmtmt  "Dump Matsumoto (Japan)"
endurob2  "Enduro Racer (bootleg set 2)"
endurobl  "Enduro Racer (bootleg set 1)"
eswatbl   "E-Swat - Cyber Police (bootleg)"
fantzone  "Fantasy Zone (Japan New Ver.)"
fantzono  "Fantasy Zone (Old Ver.)"
fpointbl  "Flash Point (bootleg)"
goldnabl  "Golden Axe (bootleg)"
goldnaxa  "Golden Axe (Version 2)"
goldnaxe  "Golden Axe (Version 1)"
hangon    "Hang-On"
hwchamp   "Heavyweight Champ"
mjleague  "Major League"
moonwlkb  "Moon Walker (bootleg)"
outrun    "Out Run (set 1)"
outruna   "Out Run (set 2)"
outrunb   "Out Run (set 3)"
passht4b  "Passing Shot (4 Players) (bootleg)"
passshtb  "Passing Shot (2 Players) (bootleg)"
quartet   "Quartet"
quartet2  "Quartet 2"
quartetj  "Quartet (Japan)"
riotcity  "Riot City"
sdi       "SDI - Strategic Defense Initiative"
shangonb  "Super Hang-On (bootleg)"
sharrier  "Space Harrier"
shdancbl  "Shadow Dancer (bootleg)"
shdancer  "Shadow Dancer (US)"
shdancrj  "Shadow Dancer (Japan)"
shinobi   "Shinobi (set 1)"
shinobl   "Shinobi (bootleg)"
tetrisbl  "Tetris (Sega bootleg)"
timscanr  "Time Scanner"
toryumon  "Toryumon"
tturf     "Tough Turf (Japan)"
tturfbl   "Tough Turf (bootleg)"
tturfu    "Tough Turf (US)"
wb3       "Wonder Boy III - Monster Lair (set 1)"
wb3bl     "Wonder Boy III - Monster Lair (bootleg)"
wrestwar  "Wrestle War"
logicpro  "Logic Pro"
karianx   "Karian Cross"
logicpr2  "Logic Pro 2 (Japan)"
bloxeedc  "Bloxeed (C System)"
columns   "Columns (US)"
columnsj  "Columns (Japan)"
columns2  "Columns II - The Voyage Through Time (Japan)"
borench   "Borench"
tfrceac   "ThunderForce AC"
tfrceacj  "ThunderForce AC (Japan)"
tfrceacb  "ThunderForce AC (bootleg)"
tantr     "Tant-R (Puzzle & Action) (Japan)"
tantrbl   "Tant-R (Puzzle & Action) (Japan) (bootleg)"
tantrbl2  "Tant-R (Puzzle & Action) (Japan) (bootleg set 2)"
puyopuyo  "Puyo Puyo (Japan)"
puyopuya  "Puyo Puyo (Japan) (Rev A)"
puyopuyb  "Puyo Puyo (English) (bootleg)"
ichidant  "Ichidant-R (Puzzle & Action 2) (Japan)"
ichidnte  "Ichidant-R (Puzzle & Action 2) (English)"
stkclmns  "Stack Columns (Japan)"
puyopuy2  "Puyo Puyo 2 (Japan)"
potopoto  "Poto Poto (Japan)"
zunkyou   "Zunzunkyou No Yabou (Japan)"
lnc       "Lock'n'Chase"
zoar      "Zoar"
btime     "Burger Time (Data East set 1)"
btime2    "Burger Time (Data East set 2)"
btimem    "Burger Time (Midway)"
cookrace  "Cook Race"
wtennis   "World Tennis"
brubber   "Burnin' Rubber"
bnj       "Bump 'n' Jump"
caractn   "Car Action"
disco     "Disco No.1"
mmonkey   "Minky Monkey"
ctsttape  "Cassette: Test Tape"
cterrani  "Cassette: Terranean"
castfant  "Cassette: Astro Fantasia"
csuperas  "Cassette: Super Astro Fighter"
clocknch  "Cassette: Lock'n'Chase"
cprogolf  "Cassette: Pro Golf"
cluckypo  "Cassette: Lucky Poker"
ctisland  "Cassette: Treasure Island"
cdiscon1  "Cassette: Disco No 1"
ctornado  "Cassette: Tornado"
cmissnx   "Cassette: Mission-X"
cptennis  "Cassette: Pro Tennis"
cexplore  "Cassette: Explorer"
cbtime    "Cassette: Burger Time"
cbnj      "Cassette: Bump N Jump"
cburnrub  "Cassette: Burnin' Rubber"
cgraplop  "Cassette: Graplop (aka Cluster Buster)"
clapapa   "Cassette: La.Pa.Pa (aka Rootin' Tootin')"
cnightst  "Cassette: Night Star"
cprosocc  "Cassette: Pro Soccer"
cprobowl  "Cassette: Pro Bowling"
cscrtry   "Cassette: Scrum Try"
cppicf    "Cassette: Peter Pepper's Ice Cream Factory"
cfghtice  "Cassette: Fighting Ice Hockey"
cbdash    "Cassette: Boulder Dash"
astrof    "Astro Fighter (set 1)"
astrof2   "Astro Fighter (set 2)"
astrof3   "Astro Fighter (set 3)"
tomahawk  "Tomahawk 777 (Revision 1)"
tomahaw5  "Tomahawk 777 (Revision 5)"
kchamp    "Karate Champ (US)"
karatedo  "Karate Dou (Japan)"
kchampvs  "Karate Champ (US VS version)"
karatevs  "Taisen Karate Dou (Japan VS version)"
firetrap  "Fire Trap"
firetpbl  "Fire Trap (Japan bootleg)"
brkthru   "Break Thru (US)"
brkthruj  "Kyohkoh-Toppa (Japan)"
darwin    "Darwin 4078 (Japan)"
shootout  "Shoot Out (US)"
shootouj  "Shoot Out (Japan)"
shootoub  "Shoot Out (Korean Bootleg)"
sidepckt  "Side Pocket (World)"
sidepctj  "Side Pocket (Japan)"
sidepctb  "Side Pocket (bootleg)"
exprraid  "Express Raider (US)"
wexpress  "Western Express (World?)"
wexpresb  "Western Express (bootleg set 1)"
wexpresc  "Western Express (bootleg set 2)"
pcktgal   "Pocket Gal (Japan)"
pcktgalb  "Pocket Gal (bootleg)"
pcktgal2  "Pocket Gal 2 (World?)"
spool3    "Super Pool III (World?)"
spool3i   "Super Pool III (I-Vics)"
battlera  "Battle Rangers (World)"
bldwolf   "Bloody Wolf (US)"
actfancr  "Act-Fancer Cybernetick Hyper Weapon (World revision 2)"
actfanc1  "Act-Fancer Cybernetick Hyper Weapon (World revision 1)"
actfancj  "Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)"
triothep  "Trio The Punch - Never Forget Me... (Japan)"
lastmiss  "Last Mission (US revision 6)"
lastmss2  "Last Mission (US revision 5)"
shackled  "Shackled (US)"
breywood  "Breywood (Japan revision 2)"
csilver   "Captain Silver (Japan)"
ghostb    "Real Ghostbusters, The (US 2 Players)"
ghostb3   "Real Ghostbusters, The (US 3 Players)"
meikyuh   "Meikyuu Hunter G (Japan)"
srdarwin  "Super Real Darwin (Japan)"
gondo     "Gondomania (US)"
makyosen  "Makyou Senshi (Japan)"
garyoret  "Garyo Retsuden (Japan)"
cobracom  "Cobra-Command (World revision 5)"
cobracmj  "Cobra-Command (Japan)"
oscar     "Psycho-Nics Oscar (US)"
oscarj    "Psycho-Nics Oscar (Japan revision 2)"
oscarj1   "Psycho-Nics Oscar (Japan revision 1)"
oscarj0   "Psycho-Nics Oscar (Japan revision 0)"
karnov    "Karnov (US)"
karnovj   "Karnov (Japan)"
wndrplnt  "Wonder Planet (Japan)"
chelnov   "Chelnov - Atomic Runner (US)"
chelnovj  "Chelnov - Atomic Runner (Japan)"
hbarrel   "Heavy Barrel (US)"
hbarrelw  "Heavy Barrel (World)"
baddudes  "Bad Dudes vs. Dragonninja (US)"
drgninja  "Dragonninja (Japan)"
robocop   "Robocop (World revision 3)"
robocopu  "Robocop (US revision 1)"
robocpu0  "Robocop (US revision 0)"
robocopb  "Robocop (World bootleg)"
hippodrm  "Hippodrome (US)"
ffantasy  "Fighting Fantasy (Japan revision 2)"
ffantasa  "Fighting Fantasy (Japan)"
slyspy    "Sly Spy (US revision 3)"
slyspy2   "Sly Spy (US revision 2)"
secretag  "Secret Agent (World)"
midres    "Midnight Resistance (World)"
midresu   "Midnight Resistance (US)"
midresj   "Midnight Resistance (Japan)"
bouldash  "Boulder Dash / Boulder Dash Part 2 (World)"
stadhero  "Stadium Hero (Japan)"
madmotor  "Mad Motor"
vaportra  "Vapor Trail - Hyper Offence Formation (World revision 1)"
vaportru  "Vapor Trail - Hyper Offence Formation (US)"
kuhga     "Kuhga - Operation Code 'Vapor Trail' (Japan revision 3)"
cbuster   "Crude Buster (World FX version)"
cbusterw  "Crude Buster (World FU version)"
cbusterj  "Crude Buster (Japan)"
twocrude  "Two Crude (US)"
darkseal  "Dark Seal (World revision 3)"
darksea1  "Dark Seal (World revision 1)"
darkseaj  "Dark Seal (Japan)"
gatedoom  "Gate of Doom (US revision 4)"
gatedom1  "Gate of Doom (US revision 1)"
supbtime  "Super Burger Time (World)"
supbtimj  "Super Burger Time (Japan)"
cninja    "Caveman Ninja (World revision 3)"
cninja0   "Caveman Ninja (World revision 0)"
cninjau   "Caveman Ninja (US)"
joemac    "Joe & Mac (Japan)"
stoneage  "Stoneage"
robocop2  "Robocop 2 (US)"
chinatwn  "China Town (Japan)"
tumblep   "Tumble Pop (World)"
tumblepj  "Tumble Pop (Japan)"
tumblepb  "Tumble Pop (bootleg set 1)"
tumblep2  "Tumble Pop (bootleg set 2)"
senjyo    "Senjyo"
starforc  "Star Force"
starfore  "Star Force (encrypted)"
megaforc  "Mega Force"
baluba    "Baluba-louk no Densetsu"
bombjack  "Bomb Jack (set 1)"
bombjac2  "Bomb Jack (set 2)"
pbaction  "Pinball Action (set 1)"
pbactio2  "Pinball Action (set 2)"
tehkanwc  "Tehkan World Cup"
gridiron  "Gridiron Fight"
teedoff   "Tee'd Off"
solomon   "Solomon's Key (Japan)"
rygar     "Rygar (US set 1)"
rygar2    "Rygar (US set 2)"
rygarj    "Argus no Senshi (Japan)"
gemini    "Gemini Wing"
silkworm  "Silkworm (set 1)"
silkwrm2  "Silkworm (set 2)"
gaiden    "Ninja Gaiden (World)"
shadoww   "Shadow Warriors (US)"
ryukendn  "Ninja Ryukenden (Japan)"
tknight   "Tecmo Knight"
wildfang  "Wild Fang"
wc90      "World Cup '90"
wc90b     "Euro League"
fstarfrc  "Final Star Force (US)"
ginkun    "Ganbare Ginkun"
tutankhm  "Tutankham"
tutankst  "Tutankham (Stern)"
junofrst  "Juno First"
junofstg  "Juno First (Gottlieb)"
pooyan    "Pooyan"
pooyans   "Pooyan (Stern)"
pootan    "Pootan"
timeplt   "Time Pilot"
timepltc  "Time Pilot (Centuri)"
spaceplt  "Space Pilot"
psurge    "Power Surge"
megazone  "Mega Zone"
megaznik  "Mega Zone (Kosuka)"
pandoras  "Pandora's Palace"
gyruss    "Gyruss (Konami)"
gyrussce  "Gyruss (Centuri)"
venus     "Venus"
trackfld  "Track & Field"
trackflc  "Track & Field (Centuri)"
hyprolym  "Hyper Olympic"
hyprolyb  "Hyper Olympic (bootleg)"
rocnrope  "Roc'n Rope"
rocnropk  "Roc'n Rope (Kosuka)"
circusc   "Circus Charlie"
circusc2  "Circus Charlie (no level select)"
circuscc  "Circus Charlie (Centuri)"
circusce  "Circus Charlie (Centuri, earlier)"
tp84      "Time Pilot '84 (set 1)"
tp84a     "Time Pilot '84 (set 2)"
hyperspt  "Hyper Sports"
hpolym84  "Hyper Olympics '84"
sbasketb  "Super Basketball"
sbasketu  "Super Basketball (not encrypted)"
mikie     "Mikie"
mikiej    "Shinnyuushain Tooru-kun"
mikiehs   "Mikie (High School Graffiti)"
roadf     "Road Fighter (set 1)"
roadf2    "Road Fighter (set 2)"
yiear     "Yie Ar Kung-Fu (set 1)"
yiear2    "Yie Ar Kung-Fu (set 2)"
kicker    "Kicker"
shaolins  "Shao-Lin's Road"
pingpong  "Ping Pong"
gberet    "Green Beret"
rushatck  "Rush'n Attack"
gberetb   "Green Beret (bootleg)"
mrgoemon  "Mr. Goemon (Japan)"
jailbrek  "Jail Break"
manhatan  "Manhattan 24 Bunsyo (Japan)"
finalizr  "Finalizer - Super Transformation"
finalizb  "Finalizer - Super Transformation (bootleg)"
ironhors  "Iron Horse"
dairesya  "Dai Ressya Goutou (Japan)"
farwest   "Far West"
jackal    "Jackal (World)"
topgunr   "Top Gunner (US)"
jackalj   "Tokushu Butai Jackal (Japan)"
topgunbl  "Top Gunner (bootleg)"
ddribble  "Double Dribble"
contra    "Contra (US)"
contrab   "Contra (US bootleg)"
contraj   "Contra (Japan)"
contrajb  "Contra (Japan bootleg)"
gryzor    "Gryzor"
combasc   "Combat School (joystick)"
combasct  "Combat School (trackball)"
combascj  "Combat School (Japan trackball)"
bootcamp  "Boot Camp"
combascb  "Combat School (bootleg)"
rockrage  "Rock 'n Rage (World?)"
rockragj  "Koi no Hotrock (Japan)"
mx5000    "MX5000"
flkatck   "Flak Attack (Japan)"
fastlane  "Fast Lane"
tricktrp  "Trick Trap (World?)"
labyrunr  "Labyrinth Runner (Japan)"
thehustl  "Hustler, The (Japan version M)"
thehustj  "Hustler, The (Japan version J)"
rackemup  "Rack 'em Up"
battlnts  "Battlantis"
battlntj  "Battlantis (Japan)"
bladestl  "Blades of Steel (version T)"
bladstle  "Blades of Steel (version E)"
hcastle   "Haunted Castle (set 1)"
hcastlea  "Haunted Castle (set 2)"
hcastlej  "Akuma-Jou Dracula (Japan)"
ajax      "Ajax"
ajaxj     "Ajax (Japan)"
scontra   "Super Contra"
scontraj  "Super Contra (Japan)"
thunderx  "Thunder Cross"
thnderxj  "Thunder Cross (Japan)"
mainevt   "Main Event, The (version Y)"
mainevt2  "Main Event, The (version F)"
ringohja  "Ring no Ohja (Japan)"
devstors  "Devastators (version Z)"
devstor2  "Devastators (version X)"
devstor3  "Devastators (version V)"
garuka    "Garuka (Japan)"
88games   "'88 Games"
konami88  "Konami '88"
hypsptsp  "Hyper Sports Special (Japan)"
gbusters  "Gang Busters"
crazycop  "Crazy Cop (Japan)"
crimfght  "Crime Fighters (US 4 players)"
crimfgt2  "Crime Fighters (World 2 Players)"
crimfgtj  "Crime Fighters (Japan 2 Players)"
spy       "S.P.Y. - Special Project Y (US)"
bottom9   "Bottom of the Ninth (version T)"
bottom9n  "Bottom of the Ninth (version N)"
blockhl   "Block Hole"
quarth    "Quarth (Japan)"
aliens    "Aliens (World set 1)"
aliens2   "Aliens (World set 2)"
aliensu   "Aliens (US)"
aliensj   "Aliens (Japan)"
surpratk  "Surprise Attack (Japan)"
parodius  "Parodius DA! (Japan)"
rollerg   "Rollergames (US)"
rollergj  "Rollergames (Japan)"
simpsons  "Simpsons, The (4 Players)"
simpsn2p  "Simpsons, The (2 Players)"
simps2pj  "Simpsons, The (2 Players Japan)"
vendetta  "Vendetta (US)"
vendetas  "Vendetta (Asia set 1)"
vendeta2  "Vendetta (Asia set 2)"
vendettj  "Crime Fighters 2 (Japan)"
wecleman  "WEC Le Mans 24"
hotchase  "Hot Chase"
chqflag   "Chequered Flag"
chqflagj  "Chequered Flag (Japan)"
ultraman  "Ultraman (Japan)"
hexion    "Hexion (Japan)"
nemesis   "Nemesis (hacked?)"
nemesuk   "Nemesis (World?)"
konamigt  "Konami GT"
salamand  "Salamander (version D)"
salamanj  "Salamander (version J)"
lifefrce  "Lifeforce (US)"
lifefrcj  "Lifeforce (Japan)"
blkpnthr  "Black Panther"
citybomb  "City Bomber (World)"
citybmrj  "City Bomber (Japan)"
kittenk   "Kitten Kaboodle"
nyanpani  "Nyan Nyan Panic (Japan)"
rf2       "Konami RF2 - Red Fighter"
twinbee   "TwinBee"
gradius   "Gradius"
gwarrior  "Galactic Warriors"
devilw    "Devil World"
darkadv   "Dark Adventure"
majuu     "Majuu no Ohkoku"
vulcan    "Vulcan Venture"
gradius2  "Gradius II - Gofer no Yabou (Japan set 1)"
grdius2a  "Gradius II - Gofer no Yabou (Japan set 2)"
grdius2b  "Gradius II - Gofer no Yabou (Japan set 3)"
cuebrick  "Cuebrick"
fround    "Final Round (version M)"
froundl   "Final Round (version L)"
hpuncher  "Hard Puncher (Japan)"
miaj      "Missing in Action (Japan)"
mia       "Missing in Action (version T)"
mia2      "Missing in Action (version S)"
tmnt      "Teenage Mutant Ninja Turtles (US 4 Players)"
tmht      "Teenage Mutant Hero Turtles (UK 4 Players)"
tmntj     "Teenage Mutant Ninja Turtles (Japan 4 Players)"
tmht2p    "Teenage Mutant Hero Turtles (UK 2 Players)"
tmnt2pj   "Teenage Mutant Ninja Turtles (Japan 2 Players)"
tmnt2po   "Teenage Mutant Ninja Turtles (Oceania 2 Players)"
punkshot  "Punk Shot (US 4 Players)"
punksht2  "Punk Shot (US 2 Players)"
punkshtj  "Punk Shot (Japan 2 Players)"
lgtnfght  "Lightning Fighters (US)"
trigon    "Trigon (Japan)"
blswhstl  "Bells & Whistles"
detatwin  "Detana!! Twin Bee (Japan)"
tmnt2     "Teenage Mutant Ninja Turtles - Turtles in Time (US 4 Players)"
tmnt22p   "Teenage Mutant Ninja Turtles - Turtles in Time (US 2 Players)"
tmnt2a    "Teenage Mutant Ninja Turtles - Turtles in Time (Asia 4 Players)"
ssriders  "Sunset Riders (World 4 Players ver. EAC)"
ssrdrebd  "Sunset Riders (World 2 Players ver. EBD)"
ssrdrebc  "Sunset Riders (World 2 Players ver. EBC)"
ssrdruda  "Sunset Riders (US 4 Players ver. UDA)"
ssrdruac  "Sunset Riders (US 4 Players ver. UAC)"
ssrdrubc  "Sunset Riders (US 2 Players ver. UBC)"
ssrdrabd  "Sunset Riders (Asia 2 Players ver. ABD)"
ssrdrjbd  "Sunset Riders (Japan 2 Players ver. JBD)"
xmen      "X-Men (4 Players)"
xmen6p    "X-Men (6 Players)"
xmen2pj   "X-Men (2 Players Japan)"
xexex     "Xexex (World)"
xexexj    "Xexex (Japan)"
asterix   "Asterix (World ver. EAD)"
astrxeac  "Asterix (World ver. EAC)"
astrxeaa  "Asterix (World ver. EAA)"
gijoe     "GI Joe (World)"
gijoeu    "GI Joe (US)"
thndrx2   "Thunder Cross II (Japan)"
qgakumon  "Quiz Gakumon no Susume (Japan)"
overdriv  "Over Drive"
gradius3  "Gradius III (Japan)"
grdius3a  "Gradius III (Asia)"
sidetrac  "Side Track"
targ      "Targ"
spectar   "Spectar (revision 3)"
spectar1  "Spectar (revision 1?)"
venture   "Venture (version 5 set 1)"
venture2  "Venture (version 5 set 2)"
venture4  "Venture (version 4)"
mtrap     "Mouse Trap (version 5)"
mtrap3    "Mouse Trap (version 3)"
mtrap4    "Mouse Trap (version 4)"
pepper2   "Pepper II"
hardhat   "Hard Hat"
fax       "Fax"
circus    "Circus"
robotbwl  "Robot Bowl"
crash     "Crash"
ripcord   "Rip Cord"
starfire  "Star Fire"
fireone   "Fire One"
victory   "Victory"
victorba  "Victor Banana"
crossbow  "Crossbow (version 2.0)"
cheyenne  "Cheyenne (version 1.0)"
combat    "Combat (version 3.0)"
cracksht  "Crackshot (version 2.0)"
claypign  "Clay Pigeon (version 2.0)"
chiller   "Chiller (version 3.0)"
topsecex  "Top Secret (Exidy) (version 1.0)"
hitnmiss  "Hit 'n Miss (version 3.0)"
hitnmis2  "Hit 'n Miss (version 2.0)"
whodunit  "Who Dunit (version 8.0)"
showdown  "Showdown (version 5.0)"
copsnrob  "Cops'n Robbers"
sprint2   "Sprint 2"
nitedrvr  "Night Driver"
dominos   "Dominos"
canyon    "Canyon Bomber"
canbprot  "Canyon Bomber (prototype)"
sprint1   "Sprint 1"
avalnche  "Avalanche"
firetrk   "Fire Truck"
skydiver  "Sky Diver"
sbrkout   "Super Breakout"
atarifb   "Atari Football (revision 2)"
atarifb1  "Atari Football (revision 1)"
videopin  "Video Pinball"
atarifb4  "Atari Football (4 players)"
